Nome da Empresa;Endereço;Município;UF;"Data de 
Autorização para Início da Atividade";Capacidade de Inutilização;Código de Inutilização
NOVA FASE FEIRA DE SANTANA LTDA;DT DE HUMILDES, 90, HUMILDES;FEIRA DE SANTANA;BA;06/10/2023;1000;Y mmaa
NOVA FASE PARÁ LTDA;RUA   DISTRITO INDUSTRIAL, 15, DISTRITO INDUSTRIAL;ANANINDEUA;PA;09/04/2021;1500;I6 mmaa
NOVA FASE PERNAMBUCO LTDA - EPP;RODOVIA BR-101 SUL, 3064, PONTE DOS CARVALHOS, CENTRO;CABO DE SANTO AGOSTINHO;PE;13/08/2015;2000;I3 mmaa
NOVA FASE REQUALIFICADORA DE RECIPIENTES DE GAS LTDA - ME;AVENIDA   PARQUE LESTE, 300, DISTRITO INDUSTRIAL I;MARACANAU;CE;02/03/2009;2000;I2 mmaa
PAMPA REQUALIFICADORA DE CILINDROS LTDA - EPP;RUA BERTO CIRIO, 1800, SAO LUIS;CANOAS;RS;30/04/2001;200;R mmaa
QUALIVAL INDÚSTRIA E COMÉRCIO E MANUTENÇÃO INDUSTRIAL LTDA.;RUA   ANTONIO CARVALHO LAGE FILHO, 560, 19º ANDAR - PARTE, JARDIM PIRATININGA;DUQUE DE CAXIAS;RJ;06/06/2007;1632;Q mmaa
REBOGÁS REQUALIFICADORA DE BOTIJÕES DE GÁS LTDA;AVENIDA SANTA LÚCIA, 169, SANTA CECÍLIA;MAUA;SP;27/03/2006;360;G mmaa
REBRACIL REQUALIFICADORA MANUTENCAO REPARACAO E INSTALACAO DE MAQUINAS E EQUIPAMENTOS LTDA;AVENIDA SANTA  MONICA, 434, VILA SANTA CECILIA;MAUA;SP;15/05/2013;2800;E mmaa
RUBLENA COMERCIO TRANSPORTE SERVICOS DE MANUTENCAO E REQUALIFICACAO DE RECIPIENTES METALICOS LTDA - ME;RUA BITIVIA, Nº 04 AO 09, CAMPOS ELISEOS;DUQUE DE CAXIAS;RJ;22/01/2013;800;U mmaa
SERVGÁS DISTRIBUIDORA DE GÁS S. A.;RUA SANTA CLARA, 140, VILA PARAÍSO;GUARULHOS;SP;29/11/2018;800;J mmaa
SOCIEDADE FOGAS LTDA;RUA RIO QUIXITO, 86, VILA BURITI;MANAUS;AM;28/03/2012;50;F mmaa
SOCIEDADE FOGAS LTDA;AVENIDA DOS IMIGRANTES, 101, SAO SEBASTIAO;PORTO VELHO;RO;30/10/2001;30;F1 mmaa
SUPERGASBRAS ENERGIA LTDA.;RUA ANTONIO CARVALHO LAGE FILHO, 560, PARTE, JARDIM PIRATININGA;DUQUE DE CAXIAS;RJ;03/11/2021;780;X mmaa
TRUCOFER COM DE FERRO E METAIS LTDA;AVENIDA SANTA  MONICA, 350, VILA SANTA CECILIA;MAUA;SP;23/03/2009;300;T mmaa
TRUKOFER REQUALIFICADORA DE CILINDROS PARA GLP LTDA;AVENIDA SANTA  MÔNICA, 350, A, VILA SANTA CECÍLIA;MAUA;SP;25/03/2019;300;T mmaa
UNIEND - INSPECOES LTDA - EPP;RUA WALKER VELOSO,  S/N, QD 02, LT 13, SETOR CENTRAL;SENADOR CANEDO;GO;07/01/2016;5;U2 mmaa
VIEGAS MANUNTENCAO E INSTALACOES INDUSTRIAIS LTDA - ME;RUA LIMOEIRO, 589, SANTO ANTONIO;BETIM;MG;10/12/2012;100;V mmaa
VIEGAS REQUALIFICADORA LTDA-ME;Rua Teonilio Niquini, 800, Distrito Industrial Jardim Piemont Sul;BETIM;MG;24/07/2018;300;D mmaa
